"% Model","Flow sweep - SOFC_NH3_Ni_GDC_MS v2.mph","",""
"% Version","COMSOL 6.2.0.415","",""
"% Date","Aug 22 2024, 15:26","",""
"% Table","Table - Outflow - Surface Integration - Outflow","",""
"% J_fuel (ml/min)","V_cell (V)","Volume outflow (ml/min)","Mass outflow (ug/s)"
"30","0.22","60.67617317807","212.02344172619"
"30","0.32","58.002669538108","196.48420648173"
"30","0.42","57.552185174315","182.60527860744"
"30","0.52","57.075064772039","168.34951500964"
"30","0.62","56.569983320873","153.99140875152"
"30","0.72","56.025814652742","139.76088005304"
"30","0.82","55.342467309954","125.87605158303"
"30","0.92","55.691133257348","113.58660238401"
"80","0.22","156.66533021643","388.22211202573"
"80","0.32","156.52912799663","372.08983610613"
"80","0.42","156.23184988748","356.03671217075"
"80","0.52","156.00540750069","340.1963265168"
"80","0.62","155.75209921934","324.59513125445"
"80","0.72","155.75446221509","309.4858410023"
"80","0.82","155.83509719297","294.89151864805"
"80","0.92","156.66667805254","281.5773504095"
"130","0.22","254.73469424901","553.40151120984"
"130","0.32","254.4411541258","537.00718454748"
"130","0.42","254.77176518619","521.04621725963"
"130","0.52","254.64531177735","505.08895363636"
"130","0.62","254.63809745128","489.42023476941"
"130","0.72","255.20223245849","474.42250665097"
"130","0.82","255.25415659719","459.69050957532"
"130","0.92","255.92786199629","445.92198037762"
